task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	e2/7ef6ca	17904	map (RT_Gad2_2)	COMPLETED	0	2020-12-03 01:40:57.387	29m 44s	29m 44s	1000.4%	9.8 GB	13.2 GB	7 GB	7 GB
17	26/3d93d9	2571	map (RT_Gad2_3)	COMPLETED	0	2020-12-03 02:10:41.389	32m 54s	32m 54s	1051.3%	9.8 GB	13.2 GB	6.9 GB	6.8 GB
18	ac/d6dcd2	20397	map (RT_vGluT2_1)	COMPLETED	0	2020-12-03 02:43:35.865	30m 40s	30m 39s	1005.6%	9.8 GB	13.2 GB	7.1 GB	7.2 GB
19	20/77549b	5203	map (S1_vGluT2_3)	COMPLETED	0	2020-12-03 03:14:15.439	16m 37s	16m 36s	739.8%	9.8 GB	13.2 GB	6.1 GB	5.8 GB
20	28/3570c0	19626	map (S1_Gad2_1)	COMPLETED	0	2020-12-03 03:30:52.115	15m 22s	15m 21s	686.3%	9.7 GB	13.2 GB	6.1 GB	5.9 GB
21	94/b8e27b	1219	map (RT_vGluT2_3)	COMPLETED	0	2020-12-03 03:46:13.869	38m 56s	38m 56s	1071.6%	9.8 GB	13.2 GB	7.6 GB	8.1 GB
22	81/674093	20309	map (S1_Gad2_3)	COMPLETED	0	2020-12-03 04:25:10.194	13m 46s	13m 46s	612.9%	9.7 GB	13.2 GB	6 GB	5.7 GB
23	4a/d9e546	1583	map (S1_Gad2_2)	COMPLETED	0	2020-12-03 04:38:56.302	15m	15m	656.7%	9.7 GB	13.2 GB	6.2 GB	5.9 GB
24	f7/6b76bf	15581	map (S1_vGluT2_2)	COMPLETED	0	2020-12-03 04:53:56.809	10m 54s	10m 54s	464.3%	9.7 GB	13.2 GB	5.6 GB	5.3 GB
25	20/79d69e	28689	map (S1_vGluT2_1)	COMPLETED	0	2020-12-03 05:04:50.974	25m 38s	25m 38s	960.1%	9.8 GB	13.2 GB	6.6 GB	6.3 GB
26	4b/27a00d	12405	filter (RT_Gad2_1)	COMPLETED	0	2020-12-03 05:30:29.219	6m 11s	6m 11s	78.3%	963.7 MB	1.7 GB	3 GB	1.8 GB
27	8b/08746b	12409	filter (RT_Gad2_2)	COMPLETED	0	2020-12-03 05:30:29.241	10m 27s	10m 27s	80.5%	968.6 MB	1.7 GB	5.3 GB	3.1 GB
28	85/825bdd	22201	filter (RT_Gad2_3)	COMPLETED	0	2020-12-03 05:36:40.569	8m 48s	8m 48s	78.3%	970.8 MB	1.7 GB	4.5 GB	2.5 GB
30	f2/57266b	3409	filter (S1_vGluT2_3)	COMPLETED	0	2020-12-03 05:45:28.994	4m 20s	4m 20s	81.1%	971.6 MB	1.7 GB	2.1 GB	1.1 GB
29	61/78a25c	28633	filter (RT_vGluT2_1)	COMPLETED	0	2020-12-03 05:40:56.631	12m 56s	12m 56s	79.1%	965.4 MB	1.7 GB	6.3 GB	3.9 GB
31	30/e86248	9915	filter (S1_Gad2_1)	COMPLETED	0	2020-12-03 05:49:48.832	4m 54s	4m 53s	81.7%	964.1 MB	1.7 GB	2.2 GB	1.2 GB
33	91/996fc0	16332	filter (S1_Gad2_3)	COMPLETED	0	2020-12-03 05:54:42.568	4m 12s	4m 12s	81.8%	967.4 MB	1.7 GB	1.9 GB	1.1 GB
34	19/2873c3	22676	filter (S1_Gad2_2)	COMPLETED	0	2020-12-03 05:58:54.617	5m 1s	5m 1s	81.7%	963.3 MB	1.7 GB	2.3 GB	1.3 GB
35	7d/a9b088	29826	filter (S1_vGluT2_2)	COMPLETED	0	2020-12-03 06:03:55.927	2m 12s	2m 12s	82.2%	892.4 MB	1.7 GB	1013.1 MB	534.3 MB
32	45/c0966a	14269	filter (RT_vGluT2_3)	COMPLETED	0	2020-12-03 05:53:52.805	16m 46s	16m 45s	78.9%	965.8 MB	1.7 GB	8.2 GB	5 GB
36	99/4aff55	32287	filter (S1_vGluT2_1)	COMPLETED	0	2020-12-03 06:06:08.074	6m 12s	6m 12s	79.7%	966.5 MB	1.7 GB	3.1 GB	1.7 GB
37	3c/a74c75	4117	snp (RT_Gad2_1)	COMPLETED	0	2020-12-03 06:10:38.471	2m 43s	2m 43s	108.5%	1 GB	18.5 GB	6.3 GB	853.3 MB
38	0c/8b4383	10516	snp (RT_Gad2_2)	COMPLETED	0	2020-12-03 06:12:20.119	3m 30s	3m 29s	119.6%	1 GB	18.5 GB	7 GB	1.3 GB
39	7d/b4268d	15798	snp (RT_Gad2_3)	COMPLETED	0	2020-12-03 06:13:21.951	3m 3s	3m 3s	125.2%	1 GB	18.5 GB	6.7 GB	1 GB
