"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04071","mmu04071","Sphingolipid signaling pathway","51/2092","122/8384",2.95479106213341e-05,0.000156603926293071,8.65701942765402e-05,"11651/19353/12028/11652/26395/51792/11848/19211/26931/23797/14360/20397/19052/19878/18806/26932/268656/26419/71978/29857/18607/72930/14682/15461/226849/241447/18706/18176/18762/269643/16653/18709/14678/433323/20597/18708/52432/11539/18754/26414/18750/18795/18751/26416/56632/22059/26417/26413/26408/18752/93898",51
"mmu05231","mmu05231","Choline metabolism in cancer","43/2092","98/8384",3.0650594059542e-05,0.000159785064113678,8.83287179972997e-05,"56077/18591/20683/11651/19353/11652/26395/23797/83767/18806/15251/26419/18607/20662/15461/18590/18777/18706/18176/18720/100434/67916/19744/56717/16653/18709/380921/18717/217480/104418/18708/26414/18750/50784/16476/18751/68682/14784/212862/26417/26413/227333/18752",43
"mmu01521","mmu01521","EGFR tyrosine kinase inhibitor resistance","36/2092","79/8384",5.05180738262992e-05,0.000259108830270373,0.000143234606604278,"18591/11836/11651/109880/12028/20848/11652/26395/16001/12048/19211/23797/18015/56637/20662/12015/15461/18590/20779/18706/18176/13684/16451/56717/16653/14456/18709/18708/56484/18750/18751/14784/211323/26417/26413/18752",36
"mmu04010","mmu04010","MAPK signaling pathway","103/2092","294/8384",5.50942653095003e-05,0.000278094862990811,0.00015373003018691,"18591/11836/11651/19353/13163/109880/12297/72349/11652/65964/26395/18749/18747/16001/17260/12540/56808/20807/68652/12289/17164/216965/18099/12298/12928/58231/17762/23797/67603/17311/19279/17347/67112/26406/18015/12295/19042/19418/19056/26419/14180/12294/29857/60597/224105/15370/26404/58226/19252/20662/12978/26412/22340/15461/18590/26921/11909/19099/19419/18176/13638/19055/16653/18479/16179/12367/19417/17532/26398/71751/19058/12286/14701/18218/12293/11911/26414/12064/13640/18750/12288/16476/18751/81905/26416/235584/18212/17187/22059/14784/381921/19043/330177/76089/26417/26413/54376/109905/240168/16478/26408/18752/56692",103
"mmu05135","mmu05135","Yersinia infection","54/2092","134/8384",5.88319740077622e-05,0.000292321370851069,0.000161594402291057,"11651/19353/11652/26395/76709/12540/11848/67771/68652/140579/12928/23797/66713/19878/110596/26419/14083/29857/56637/12504/14682/108100/16412/74117/74192/20779/18706/16183/18720/56378/11461/56443/73178/16179/54126/18709/26398/18717/68524/140580/18708/26431/11845/26414/16476/26416/242894/19229/69632/11465/26417/26413/68089/330319",54
"mmu04066","mmu04066","HIF-1 signaling pathway","47/2092","113/8384",6.96062104274366e-05,0.000340534998706536,0.000188246755326023,"11651/12576/20848/11652/13807/26395/16001/23797/17347/18641/15251/56421/68263/12325/56438/22042/15980/12575/12322/170768/18706/13684/20525/56717/16832/11674/18597/18709/112405/22346/15275/18708/18750/18751/108058/67673/14433/12323/112406/433182/353204/18655/26417/16828/26413/18752/67923",47
"mmu04666","mmu04666","Fc gamma R-mediated phagocytosis","40/2092","92/8384",7.36574966037491e-05,0.000354895210908973,0.000196185038801054,"11651/19353/11652/26395/76709/12540/67771/12928/23797/83767/66713/18806/18753/13196/74117/74192/18706/18720/67916/56378/56443/18479/18709/18717/18708/11845/18754/17357/18750/50784/18751/12631/242894/56632/12632/26417/26413/17118/18752/68089",40
"mmu04015","mmu04015","Rap1 signaling pathway","78/2092","213/8384",8.46107638354753e-05,0.000401585416413152,0.000221995248397869,"18591/12313/11651/19353/244668/109880/21844/11652/26395/16001/56513/12540/12387/11848/12928/18643/12315/23797/17311/11540/67112/432530/210044/14180/11514/29857/224129/11512/13800/12978/14682/22340/15461/16412/93742/18590/54354/14810/14683/20779/18706/18645/18176/13638/18762/11461/14812/16653/14681/18709/17532/14678/227377/12388/238130/12314/14745/107746/50791/110351/18708/217944/217692/14924/13640/18750/18795/51791/18751/26416/14811/76089/11465/26417/26413/109905/240168/18752",78
"mmu04370","mmu04370","VEGF signaling pathway","28/2092","58/8384",9.85790930319235e-05,0.000461002229178701,0.000254840689416892,"11651/19353/11652/26395/12540/17164/23797/19056/14083/29857/12015/15461/20779/18706/18176/19055/12371/16653/18709/19058/18708/18750/18751/26416/56632/26417/26413/18752",28
"mmu04022","mmu04022","cGMP-PKG signaling pathway","65/2092","172/8384",0.000112637428258154,0.000519111625885407,0.000286963394647014,"12313/17261/11651/11652/19047/434233/26395/17260/98660/11848/22335/12915/20807/12289/11740/12315/23797/17931/67972/22333/432530/19878/210044/22334/19056/11514/224129/11512/14682/12015/12912/11931/11909/54195/19055/11938/11941/110891/17258/320707/11739/14678/11928/19058/14672/11554/12314/384783/19045/232975/11932/11911/11539/18754/11548/18795/12288/20541/58802/11936/14886/26417/16531/26413/110893",65
