"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990124","GO:1990124","messenger ribonucleoprotein complex","1/933","13/23436",0.410369214911482,0.523220749012139,0.301477383761725,"208922",1
"GO:0005604","GO:0005604","basement membrane","5/933","107/23436",0.422874474906648,0.536403494427332,0.309073220903262,"21858/14873/16412/23837/13138",5
"GO:0000781","GO:0000781","chromosome, telomeric region","5/933","108/23436",0.430753926934312,0.536403494427332,0.309073220903262,"12419/21750/223697/66231/15078",5
"GO:0000177","GO:0000177","cytoplasmic exosome (RNase complex)","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"14904",1
"GO:0000974","GO:0000974","Prp19 complex","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"22185",1
"GO:0005639","GO:0005639","integral component of nuclear inner membrane","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"223697",1
"GO:0005671","GO:0005671","Ada2/Gcn5/Ada3 transcription activator complex","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"101206",1
"GO:0030126","GO:0030126","COPI vesicle coat","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"54161",1
"GO:0030127","GO:0030127","COPII vesicle coat","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"67898",1
"GO:0031229","GO:0031229","intrinsic component of nuclear inner membrane","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"223697",1
"GO:0033276","GO:0033276","transcription factor TFTC complex","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"101206",1
"GO:0038201","GO:0038201","TOR complex","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"227743",1
"GO:0042581","GO:0042581","specific granule","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"12725",1
"GO:0042622","GO:0042622","photoreceptor outer segment membrane","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"14688",1
"GO:0042824","GO:0042824","MHC class I peptide loading complex","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"12317",1
"GO:0098690","GO:0098690","glycinergic synapse","1/933","14/23436",0.433855767551519,0.536403494427332,0.309073220903262,"14658",1
"GO:0031941","GO:0031941","filamentous actin","2/933","37/23436",0.436449904535437,0.537439319065769,0.30967005828523,"76709/11465",2
"GO:0032040","GO:0032040","small-subunit processome","2/933","37/23436",0.436449904535437,0.537439319065769,0.30967005828523,"230082/102462",2
"GO:0015935","GO:0015935","small ribosomal subunit","4/933","85/23436",0.43995630235189,0.540669190842081,0.311531095514443,"76846/67994/66475/18148",4
"GO:0005852","GO:0005852","eukaryotic translation initiation factor 3 complex","1/933","15/23436",0.456407751535569,0.553111968197561,0.318700566470903,"54709",1
"GO:0031462","GO:0031462","Cul2-RING ubiquitin ligase complex","1/933","15/23436",0.456407751535569,0.553111968197561,0.318700566470903,"56438",1
"GO:0032580","GO:0032580","Golgi cisterna membrane","1/933","15/23436",0.456407751535569,0.553111968197561,0.318700566470903,"18197",1
"GO:0035686","GO:0035686","sperm fibrous sheath","1/933","15/23436",0.456407751535569,0.553111968197561,0.318700566470903,"11674",1
"GO:0090543","GO:0090543","Flemming body","1/933","15/23436",0.456407751535569,0.553111968197561,0.318700566470903,"116733",1
"GO:0097449","GO:0097449","astrocyte projection","1/933","15/23436",0.456407751535569,0.553111968197561,0.318700566470903,"11820",1
"GO:0098799","GO:0098799","outer mitochondrial membrane protein complex","1/933","15/23436",0.456407751535569,0.553111968197561,0.318700566470903,"28185",1
"GO:0000786","GO:0000786","nucleosome","4/933","88/23436",0.466477051800338,0.564197540912662,0.325088022369697,"74022/15441/51788/15078",4
"GO:0043596","GO:0043596","nuclear replication fork","2/933","40/23436",0.476670598291633,0.571433862782525,0.329257557674829,"19290/19291",2
"GO:0030479","GO:0030479","actin cortical patch","1/933","16/23436",0.47806231657623,0.571433862782525,0.329257557674829,"330319",1
"GO:0031527","GO:0031527","filopodium membrane","1/933","16/23436",0.47806231657623,0.571433862782525,0.329257557674829,"14432",1
"GO:0035098","GO:0035098","ESC/E(Z) complex","1/933","16/23436",0.47806231657623,0.571433862782525,0.329257557674829,"11569",1
"GO:0061645","GO:0061645","endocytic patch","1/933","16/23436",0.47806231657623,0.571433862782525,0.329257557674829,"330319",1
"GO:0098981","GO:0098981","cholinergic synapse","1/933","16/23436",0.47806231657623,0.571433862782525,0.329257557674829,"12669",1
"GO:0030014","GO:0030014","CCR4-NOT complex","1/933","17/23436",0.498855137184017,0.59396759524634,0.342241390449817,"208922",1
"GO:0032982","GO:0032982","myosin filament","1/933","17/23436",0.498855137184017,0.59396759524634,0.342241390449817,"69807",1
"GO:0005771","GO:0005771","multivesicular body","2/933","42/23436",0.502492831584539,0.595979870018872,0.343400853898043,"18197/66700",2
"GO:0031305","GO:0031305","integral component of mitochondrial inner membrane","2/933","42/23436",0.502492831584539,0.595979870018872,0.343400853898043,"69029/103172",2
"GO:0000152","GO:0000152","nuclear ubiquitin ligase complex","2/933","43/23436",0.51509144389888,0.607109232057783,0.349813541003367,"52717/56438",2
"GO:0031304","GO:0031304","intrinsic component of mitochondrial inner membrane","2/933","43/23436",0.51509144389888,0.607109232057783,0.349813541003367,"69029/103172",2
"GO:0005666","GO:0005666","RNA polymerase III complex","1/933","18/23436",0.518820471186635,0.607109232057783,0.349813541003367,"20016",1
"GO:0005782","GO:0005782","peroxisomal matrix","1/933","18/23436",0.518820471186635,0.607109232057783,0.349813541003367,"54683",1
"GO:0031528","GO:0031528","microvillus membrane","1/933","18/23436",0.518820471186635,0.607109232057783,0.349813541003367,"12387",1
"GO:0031907","GO:0031907","microbody lumen","1/933","18/23436",0.518820471186635,0.607109232057783,0.349813541003367,"54683",1
"GO:0032433","GO:0032433","filopodium tip","1/933","18/23436",0.518820471186635,0.607109232057783,0.349813541003367,"329165",1
"GO:0030663","GO:0030663","COPI-coated vesicle membrane","1/933","19/23436",0.537991215929263,0.625951756936709,0.360670516982796,"54161",1
"GO:0031091","GO:0031091","platelet alpha granule","1/933","19/23436",0.537991215929263,0.625951756936709,0.360670516982796,"20910",1
"GO:1902711","GO:1902711","GABA-A receptor complex","1/933","19/23436",0.537991215929263,0.625951756936709,0.360670516982796,"14400",1
"GO:0034707","GO:0034707","chloride channel complex","2/933","45/23436",0.53964555481983,0.626685160435932,0.361093100698378,"14658/14400",2
"GO:0044815","GO:0044815","DNA packaging complex","4/933","97/23436",0.542928835811867,0.629303877872846,0.362601993614385,"74022/15441/51788/15078",4
"GO:0016010","GO:0016010","dystrophin-associated glycoprotein complex","1/933","20/23436",0.556398962247664,0.641273380217647,0.369498765691283,"13138",1
"GO:0043083","GO:0043083","synaptic cleft","1/933","20/23436",0.556398962247664,0.641273380217647,0.369498765691283,"56839",1
"GO:0090665","GO:0090665","glycoprotein complex","1/933","20/23436",0.556398962247664,0.641273380217647,0.369498765691283,"13138",1
"GO:0009295","GO:0009295","nucleoid","2/933","47/23436",0.563325066516489,0.645608503198673,0.371996643569927,"22333/11947",2
"GO:0030119","GO:0030119","AP-type membrane coat adaptor complex","2/933","47/23436",0.563325066516489,0.645608503198673,0.371996643569927,"216549/11775",2
"GO:0042645","GO:0042645","mitochondrial nucleoid","2/933","47/23436",0.563325066516489,0.645608503198673,0.371996643569927,"22333/11947",2
"GO:0046658","GO:0046658","anchored component of plasma membrane","3/933","74/23436",0.569319435446027,0.651258868211156,0.375252357844406,"52882/20614/12805",3
"GO:0005882","GO:0005882","intermediate filament","5/933","127/23436",0.573484344184411,0.651824334576989,0.375578176957845,"11540/24086/93687/226180/18546",5
"GO:0012507","GO:0012507","ER to Golgi transport vesicle membrane","1/933","21/23436",0.574074046302282,0.651824334576989,0.375578176957845,"67898",1
"GO:0098831","GO:0098831","presynaptic active zone cytoplasmic component","1/933","21/23436",0.574074046302282,0.651824334576989,0.375578176957845,"12387",1
