"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005681","GO:0005681","spliceosomal complex","1/36","191/23436",0.255332882011057,0.277860009900804,0.177177941535938,"229279",1
"GO:0098862","GO:0098862","cluster of actin-based cell projections","1/36","191/23436",0.255332882011057,0.277860009900804,0.177177941535938,"12343",1
"GO:0031225","GO:0031225","anchored component of membrane","1/36","192/23436",0.256486162985357,0.277860009900804,0.177177941535938,"216169",1
"GO:0031514","GO:0031514","motile cilium","1/36","199/23436",0.264510647846876,0.285068470218395,0.181774429390272,"18747",1
"GO:0030426","GO:0030426","growth cone","1/36","203/23436",0.26905819715665,0.288474768085481,0.183946461431025,"56378",1
"GO:0044306","GO:0044306","neuron projection terminus","1/36","205/23436",0.271321708833291,0.28940982275551,0.18454270074491,"269774",1
"GO:0010008","GO:0010008","endosome membrane","1/36","207/23436",0.27357840520034,0.289759028728774,0.184765372569967,"216169",1
"GO:0030427","GO:0030427","site of polarized growth","1/36","208/23436",0.274704203874962,0.289759028728774,0.184765372569967,"56378",1
"GO:0098858","GO:0098858","actin-based cell projection","1/36","209/23436",0.275828306193737,0.289759028728774,0.184765372569967,"12387",1
"GO:0005802","GO:0005802","trans-Golgi network","1/36","219/23436",0.286976574360086,0.299955414406522,0.191267116473794,"14683",1
"GO:0099699","GO:0099699","integral component of synaptic membrane","1/36","226/23436",0.294680895720978,0.306468131549817,0.195419962425491,"20907",1
"GO:0044391","GO:0044391","ribosomal subunit","1/36","230/23436",0.299046963265516,0.309461534125509,0.197328711031448,"13205",1
"GO:0005759","GO:0005759","mitochondrial matrix","1/36","264/23436",0.335112829139581,0.344425250432716,0.219623388433817,"68015",1
"GO:0005840","GO:0005840","ribosome","1/36","265/23436",0.336145797297314,0.344425250432716,0.219623388433817,"13205",1
"GO:0098791","GO:0098791","Golgi apparatus subcompartment","1/36","282/23436",0.353469387316278,0.360400159616597,0.229809818379004,"14683",1
"GO:0031984","GO:0031984","organelle subcompartment","1/36","305/23436",0.37620915186476,0.381714651648147,0.243401043054993,"14683",1
"GO:0016324","GO:0016324","apical plasma membrane","1/36","316/23436",0.386807934847882,0.390563351691066,0.249043432758473,"192113",1
"GO:0031301","GO:0031301","integral component of organelle membrane","1/36","349/23436",0.41756451234165,0.419581732208035,0.267547055962613,"20907",1
"GO:0005743","GO:0005743","mitochondrial inner membrane","1/36","433/23436",0.48924143152161,0.48924143152161,0.311965690140298,"68015",1
