"","gene_name","log2FC_deseq2.x","padj.x","avg.RPM.ctrl.x","log2FC_deseq2.y","padj.y","avg.RPM.ctrl.y"
"103","ENSMUSG00000028745",4.0248287287069,0.280531150075982,1571.70093378629,-0.508180289907781,0.974505030171927,1311.60485889494
"67","ENSMUSG00000024063",4.2283271517203,0.262175386846945,114.667654074528,-0.265905135101495,0.993871679664425,119.511485145932
"128","ENSMUSG00000032046",4.36892440330912,0.204252543336487,640.013364173584,-0.522831249656269,0.974505030171927,598.480970473448
"13","ENSMUSG00000005506",3.5452780464504,0.311729961016569,1044.62182595506,-1.28241289519742,0.931033334536483,970.687053386978
"91","ENSMUSG00000027193",4.53197307335799,0.119652963690314,235.172629092292,-1.15003202154946,0.974505030171927,224.880307762217
"134","ENSMUSG00000033389",4.13705129994885,0.339017460341591,192.147704742811,-1.28720502578483,0.974505030171927,139.856171909795
"2","ENSMUSG00000000253",4.04315975571627,0.213969702478672,120.724637870758,-1.98578985039729,0.89411529779714,87.6559618102317
"60","ENSMUSG00000022477",4.12870553464381,0.145171204778488,663.540069797127,-2.53650389040959,0.801524788314085,752.484423708856
"68","ENSMUSG00000024065",5.06397195464081,0.145112777432422,218.435907473767,-2.83116723313186,0.815952594107479,213.082168175575
"26","ENSMUSG00000015222",5.90431426690317,0.142935931359496,359.533629839356,-2.34213482595976,0.854175192896555,649.547477069257
"183","ENSMUSG00000049775",5.52043097896195,0.102879655131126,1385.30659845906,-2.37976455078058,0.854175192896555,809.545630182678
"111","ENSMUSG00000029772",5.57753285867757,0.168473600720991,77.5068595046224,-2.96490266101795,0.841703415378135,85.5732225368397
"184","ENSMUSG00000051675",6.0367041820474,0.102879655131126,134.971603275275,-2.92876760307348,0.821717747193926,142.664834720243
"208","ENSMUSG00000063253",8.26450340936219,0.0994790656315211,265.446331932582,-0.342137124712136,0.993871679664425,269.903912385207
"65","ENSMUSG00000023960",8.73369734527672,0.0994790656315211,522.537993497042,-1.04106663701272,0.974505030171927,422.688130919491
"87","ENSMUSG00000026659",8.49342044375867,0.0994790656315211,42.6981328237611,-0.749293649406438,0.974505030171927,63.420041829453
"205","ENSMUSG00000061576",8.37257975234053,0.0994790656315211,667.8139579191,-0.758953089925999,0.974505030171927,744.768401258101
"70","ENSMUSG00000024576",6.70520175038335,0.102879655131126,197.27344220971,-0.449968090977996,0.987017635068608,258.800838683055
"219","ENSMUSG00000094910",6.89117462274322,0.102879655131126,67.8329034115469,-0.377771576939715,0.988279672111324,103.845997376982
"126","ENSMUSG00000031913",7.29701275711032,0.0994790656315211,78.7483285042977,-0.29321610294544,0.993871679664425,97.303975363496
"202","ENSMUSG00000059355",7.40263947308206,0.0994790656315211,118.220111596408,-0.382208093380439,0.989844530319054,92.3210121299482
"39","ENSMUSG00000020180",7.05221287707625,0.101530504351357,95.8974872620676,-0.566688185731468,0.974505030171927,93.3837747194489
"79","ENSMUSG00000025417",7.01298550457356,0.0994790656315211,122.911093566624,-0.587795547364785,0.974505030171927,129.553230839079
"5","ENSMUSG00000001576",7.28076755634566,0.0994790656315211,178.657532554775,-0.588992141474043,0.974505030171927,204.303589836022
"6","ENSMUSG00000002580",7.22897406050498,0.0994790656315211,206.640798769525,-0.462594936866661,0.984223170377471,202.296119608003
"127","ENSMUSG00000032010",6.72756892965228,0.125247504698619,355.959769831629,-1.10074961826147,0.974505030171927,278.893117881223
"88","ENSMUSG00000026854",7.01160305043728,0.119803135740121,49.715351477979,-1.28463666402903,0.974505030171927,50.1553528308771
"190","ENSMUSG00000053907",7.0778729814863,0.0994790656315211,222.96410875199,-1.16967765412767,0.974505030171927,99.7389560518937
"116","ENSMUSG00000030519",7.53677959488368,0.0994790656315211,270.77711906248,-0.754705395862737,0.974505030171927,325.824129636071
"140","ENSMUSG00000034192",7.31628850676953,0.0994790656315211,91.9471777199348,-1.09094404365119,0.974505030171927,43.4756994679928
"113","ENSMUSG00000029836",6.52945570093575,0.0994790656315211,163.629496786189,-0.75277917886683,0.974505030171927,216.650054113041
"166","ENSMUSG00000041571",6.04103892717526,0.102879655131126,944.000069313748,-0.827657669671512,0.974505030171927,915.988721748009
"36","ENSMUSG00000018677",5.39662735180397,0.140157208346967,448.573972703551,-1.36405924856489,0.971258713886668,371.40005754335
"181","ENSMUSG00000048251",5.56158455613341,0.11756644465838,79.9068061566637,-1.30808853681589,0.96880821468733,108.442167768405
"92","ENSMUSG00000027247",5.64417287883248,0.11550928460495,152.645545599933,-0.989963511870004,0.974505030171927,151.340336948705
"130","ENSMUSG00000032294",5.85802261698632,0.107386435071414,1250.04378688109,-1.29252246836757,0.96880821468733,979.709507069044
"122","ENSMUSG00000031176",6.24346403065437,0.101530504351357,262.64124922245,-1.75853471163776,0.900261810722449,273.652779042131
"56","ENSMUSG00000022139",5.78703694682137,0.10716413157342,277.92237141615,-1.80974544782756,0.89411529779714,670.005993563319
"150","ENSMUSG00000037236",5.71166159630343,0.129666305953817,314.734146865845,-1.94024556325342,0.845366689187258,403.399282371142
"109","ENSMUSG00000029467",6.94482493838948,0.101530504351357,253.975681817955,-2.56059060589145,0.841703415378135,397.973291199956
"8","ENSMUSG00000003316",7.30220918831281,0.0994790656315211,260.682203021681,-2.75473224996433,0.821717747193926,616.984128341092
"107","ENSMUSG00000029212",7.19984492456754,0.111681470361257,111.892618186991,-2.6442788662092,0.834488254299284,211.567754386443
"129","ENSMUSG00000032216",7.14280053190046,0.0994790656315211,372.399782501598,-2.70468722958763,0.826854738265704,402.707095010993
"69","ENSMUSG00000024414",6.49542315283336,0.103186466180282,89.1657890512394,-2.65581414902371,0.845366689187258,90.7700482169901
"40","ENSMUSG00000020271",7.08596693387803,0.112718544331229,103.771854615864,-2.17738827756521,0.905837443301084,58.2197494416384
"55","ENSMUSG00000022016",6.86180478801441,0.119906023533741,106.949316059123,-2.17923280000249,0.874536700024297,88.011323731976
"105","ENSMUSG00000028843",6.92012825597499,0.0994790656315211,238.356323545666,-2.25903278625195,0.844508387011465,206.812544279314
"124","ENSMUSG00000031432",6.72737336087311,0.123657477869728,262.226112913772,-2.1271021292869,0.88326198184542,280.225202734002
"170","ENSMUSG00000042671",6.64388449508702,0.104413411143779,312.157519169545,-2.38819101036095,0.876213425319398,409.695733096095
"156","ENSMUSG00000038807",7.69245045408484,0.101825291088338,473.591710930642,-2.26798796969564,0.913095334402882,242.112821870368
"139","ENSMUSG00000033981",7.7785707188485,0.0994790656315211,149.428214960016,-1.8210897482861,0.913095334402882,301.136429187477
"149","ENSMUSG00000036955",7.958474500591,0.0994790656315211,164.392882415205,-1.90062124184232,0.914103898203869,152.171893967871
"18","ENSMUSG00000006333",7.25846836773299,0.0994790656315211,1588.64703748255,-1.6699624682247,0.96880821468733,1079.55362875631
"22","ENSMUSG00000012535",7.08586850762238,0.113322652453107,87.0290269123807,-1.82135885662541,0.938911115114598,92.3466574715851
"20","ENSMUSG00000010376",7.52921178172799,0.0994790656315211,747.055194343034,-1.84099641051351,0.918161869961821,616.408843194429
"115","ENSMUSG00000030397",7.56067914101255,0.102879655131126,174.291655904508,-1.50023101880192,0.966574548809945,206.908860675532
"99","ENSMUSG00000028525",8.99764655930564,0.0994790656315211,423.858055856887,-8.53357057452887,0.744512064422335,384.82538690846
"7","ENSMUSG00000002871",8.27175346015304,0.0994790656315211,256.059475408394,-3.11653039501987,0.838361905342466,229.011294559932
